match_id,side,team,stat,value
1309695741,home,Netherlands,Successful Dribbles,3
1309695741,home,Netherlands,Dribbles,13
1309695741,home,Netherlands,Shots accuracy,0.7
1309695741,home,Netherlands,Failed passes,51
1309695741,home,Netherlands,Possession,0.51
1309695741,home,Netherlands,Shots on target,7
1309695741,home,Netherlands,Corners,2
1309695741,home,Netherlands,Offsides,3
1309695741,home,Netherlands,Successful passes,398
1309695741,home,Netherlands,Red cards,0
1309695741,home,Netherlands,Shots off target,2
1309695741,home,Netherlands,Blocked shots,1
1309695741,home,Netherlands,Shots within penalty area,6
1309695741,home,Netherlands,Total passes,449
1309695741,home,Netherlands,Goalkeeper saves,7
1309695741,home,Netherlands,Fouls,9
1309695741,home,Netherlands,Yellow cards,0
1309695741,home,Netherlands,Shots outside penalty area,4
1309695741,away,Sweden,Expected Goals,1.01
1309695741,away,Sweden,Big Chances Created,2
1309695741,away,Sweden,Attacks,77
1309695741,away,Sweden,Free Kicks,9
1309695741,away,Sweden,Expected Assists,0.77
1309695741,away,Sweden,Successful Crosses,3
1309695741,away,Sweden,Crosses,21
1309695741,away,Sweden,Passes Own Half,232
1309695741,away,Sweden,Passes Opposition Half,214
1309695741,away,Sweden,Successful Long Passes,6
1309695741,away,Sweden,Long Passes,30
1309695741,away,Sweden,Throw-Ins,22
1309695741,away,Sweden,Key Passes,15
1309695741,away,Sweden,Passes Into Final Third,87
1309695741,away,Sweden,Backward Passes,50
1309695741,away,Sweden,Goal Kicks,11
1309695741,away,Sweden,Interceptions,5
1309695741,away,Sweden,Successful Tackles,9
1309695741,away,Sweden,Tackles,18
1309695741,away,Sweden,Clearances,14
1309695741,away,Sweden,Successful Aerial Duels,13
1309695741,away,Sweden,Aerial Duels,27
1309695741,away,Sweden,Successful Dribbles,7
1309695741,away,Sweden,Dribbles,12
1309695741,away,Sweden,Shots accuracy,0.5
1309695741,away,Sweden,Failed passes,64
1309695741,away,Sweden,Possession,0.49
1309695741,away,Sweden,Shots on target,8
1309695741,away,Sweden,Corners,5
1309695741,away,Sweden,Offsides,3
1309695741,away,Sweden,Successful passes,361
1309695741,away,Sweden,Red cards,0
1309695741,away,Sweden,Shots off target,5
1309695741,away,Sweden,Blocked shots,3
1309695741,away,Sweden,Shots within penalty area,7
1309695741,away,Sweden,Total passes,425
1309695741,away,Sweden,Goalkeeper saves,2
1309695741,away,Sweden,Fouls,12
1309695741,away,Sweden,Yellow cards,3
1309695741,away,Sweden,Shots outside penalty area,9
1309694890,home,Turkey,Expected Goals,2.17
1309694890,home,Turkey,Big Chances Created,5
1309694890,home,Turkey,Attacks,154
1309694890,home,Turkey,Free Kicks,15
1309694890,home,Turkey,Expected Assists,2.03
1309694890,home,Turkey,Successful Crosses,8
1309694890,home,Turkey,Crosses,42
1309694890,home,Turkey,Passes Own Half,184
1309694890,home,Turkey,Passes Opposition Half,487
1309694890,home,Turkey,Successful Long Passes,28
1309694890,home,Turkey,Long Passes,42
1309694890,home,Turkey,Throw-Ins,34
1309694890,home,Turkey,Key Passes,26
1309694890,home,Turkey,Passes Into Final Third,261
1309694890,home,Turkey,Backward Passes,82
1309694890,home,Turkey,Goal Kicks,3
1309694890,home,Turkey,Interceptions,6
1309694890,home,Turkey,Successful Tackles,11
1309694890,home,Turkey,Tackles,17
1309694890,home,Turkey,Clearances,29
1309694890,home,Turkey,Successful Aerial Duels,15
1309694890,home,Turkey,Aerial Duels,35
1309694890,home,Turkey,Successful Dribbles,13
1309694890,home,Turkey,Dribbles,27
1309694890,home,Turkey,Shots accuracy,0.16
1309694890,home,Turkey,Failed passes,70
1309694890,home,Turkey,Possession,0.78
1309694890,home,Turkey,Shots on target,5
1309694890,home,Turkey,Corners,12
1309694890,home,Turkey,Offsides,2
1309694890,home,Turkey,Successful passes,559
1309694890,home,Turkey,Red cards,0
1309694890,home,Turkey,Shots off target,15
1309694890,home,Turkey,Blocked shots,12
1309694890,home,Turkey,Shots within penalty area,16
1309694890,home,Turkey,Total passes,629
1309694890,home,Turkey,Goalkeeper saves,1
1309694890,home,Turkey,Fouls,14
1309694890,home,Turkey,Yellow cards,1
1309694890,home,Turkey,Shots outside penalty area,16
1309694890,away,Paraguay,Expected Goals,0.32
1309694890,away,Paraguay,Big Chances Created,0
1309694890,away,Paraguay,Attacks,60
1309694890,away,Paraguay,Free Kicks,13
1309694890,away,Paraguay,Expected Assists,0.19
1309694890,away,Paraguay,Successful Crosses,2
1309694890,away,Paraguay,Crosses,6
1309694890,away,Paraguay,Passes Own Half,65
1309694890,away,Paraguay,Passes Opposition Half,119
1309694890,away,Paraguay,Successful Long Passes,22
1309694890,away,Paraguay,Long Passes,64
1309694890,away,Paraguay,Throw-Ins,18
1309694890,away,Paraguay,Key Passes,5
1309694890,away,Paraguay,Passes Into Final Third,25
1309694890,away,Paraguay,Backward Passes,15
1309694890,away,Paraguay,Goal Kicks,13
1309694890,away,Paraguay,Interceptions,9
1309694890,away,Paraguay,Successful Tackles,15
1309694890,away,Paraguay,Tackles,25
1309694890,away,Paraguay,Clearances,48
1309694890,away,Paraguay,Successful Aerial Duels,20
1309694890,away,Paraguay,Aerial Duels,35
1309694890,away,Paraguay,Successful Dribbles,15
1309694890,away,Paraguay,Dribbles,25
1309694890,away,Paraguay,Shots accuracy,0.29
1309694890,away,Paraguay,Failed passes,82
1309694890,away,Paraguay,Possession,0.22
1309694890,away,Paraguay,Shots on target,2
1309694890,away,Paraguay,Corners,0
1309694890,away,Paraguay,Offsides,3
1309694890,away,Paraguay,Successful passes,96
1309694890,away,Paraguay,Red cards,1
1309694890,away,Paraguay,Shots off target,3
1309694890,away,Paraguay,Blocked shots,2
1309694890,away,Paraguay,Shots within penalty area,3
1309694890,away,Paraguay,Total passes,178
1309694890,away,Paraguay,Goalkeeper saves,5
1309694890,away,Paraguay,Fouls,15
